country,year,export,gdp,gdpgrowth,gdppercapita,merchexport,merchtrade,population,trade
France,2001,389.1,1376.5,2.0,22433.6,323.4,47.4,61.4,55.0
France,2007,740.1,2657.2,2.4,41508.4,559.6,44.8,64.0,56.4
France,2012,783.8,2683.8,0.3,40874.7,568.7,46.3,65.7,59.7
France,2017,803.2,2595.2,2.3,38812.2,535.2,44.5,66.9,63.0
Germany,1976,93.9,519.8,4.9,6634.9,102.2,36.7,78.3,38.4
Germany,1979,157.1,881.3,4.2,11281.0,171.8,37.6,78.1,39.2
Germany,1986,222.7,1046.3,2.3,13461.8,243.3,41.5,77.7,42.9
Germany,1990,404.6,1771.7,5.3,22304.0,421.1,43.8,79.4,45.9
Germany,1995,568.7,2585.8,1.5,31658.3,523.5,38.2,81.7,43.6
Germany,2001,619.1,1944.1,1.7,23607.9,571.6,54.4,82.3,62.1
Germany,2007,1482.2,3421.2,3.0,41587.2,1321.2,69.5,82.3,79.9
Germany,2012,1633.4,3527.3,0.4,43858.4,1401.1,72.5,80.4,86.5
Germany,2017,1737.5,3665.8,2.5,44349.6,1448.2,71.2,82.7,87.7
India,1976,6.9,102.7,1.7,161.1,5.5,10.9,637.6,12.8
India,1979,10.3,153.0,-5.2,224.0,7.8,11.5,683.0,14.9
India,1986,12.9,249.0,4.8,310.5,9.4,10.0,802.0,12.2
India,1990,22.6,321.0,5.5,367.6,18.0,12.9,873.3,15.5
India,1995,39.1,360.3,7.6,373.8,30.6,18.1,963.9,22.9
India,2001,61.0,485.4,4.8,451.6,43.4,19.3,1075.0,26.0
India,2007,253.1,1216.7,7.7,1028.3,150.2,31.2,1183.2,45.7
India,2012,448.4,1827.6,5.5,1443.9,296.8,43.0,1265.8,55.8
India,2017,498.3,2652.8,7.0,1981.7,299.2,28.2,1338.7,40.7
Indonesia,1976,8.3,37.3,6.9,278.2,8.5,38.2,134.0,43.0
Indonesia,1979,15.5,51.4,7.3,356.9,15.6,44.3,144.0,53.7
Indonesia,1986,16.4,80.0,5.9,474.9,16.1,33.5,168.4,41.0
Indonesia,1990,29.0,106.1,7.2,585.1,25.7,44.8,181.4,52.9
Indonesia,1995,53.2,202.1,8.2,1026.4,45.4,42.6,196.9,54.0
Indonesia,2001,62.6,160.4,3.6,748.3,57.4,59.1,214.4,69.8
Indonesia,2007,127.2,432.2,6.3,1860.0,118.0,48.8,232.4,54.8
Indonesia,2012,225.7,917.9,6.0,3694.3,190.0,41.6,248.5,49.6
Indonesia,2017,204.9,1015.6,5.1,3837.7,168.8,32.1,264.6,39.4
Italy,1976,45.0,224.7,7.1,4033.1,37.3,36.1,55.7,41.2
Italy,1979,88.1,393.7,6.0,6990.3,72.2,38.1,56.3,43.7
Italy,1986,119.8,640.4,2.9,11315.0,97.2,30.7,56.6,36.2
Italy,1990,215.7,1181.2,2.0,20825.8,170.3,29.8,56.7,36.3
Italy,1995,289.8,1174.7,2.9,20664.6,233.8,37.4,56.8,45.7
Italy,2001,299.3,1167.0,2.0,20483.2,244.5,41.2,57.0,50.0
Italy,2007,604.8,2210.3,1.5,37822.7,499.9,45.8,58.4,55.1
Italy,2012,592.3,2087.1,-3.0,35053.5,501.3,47.4,59.5,55.7
Italy,2017,602.9,1961.8,1.7,32406.7,507.4,49.0,60.5,58.6
Japan,1976,76.2,586.2,4.0,5197.8,67.3,22.6,112.8,25.3
Japan,1979,117.0,1055.0,5.5,9105.1,102.3,20.1,115.9,23.1
Japan,1986,226.9,2079.0,3.3,17111.9,210.8,16.3,121.5,18.2
Japan,1990,320.2,3132.8,4.9,25359.3,287.6,16.7,123.5,19.7
Japan,1995,488.9,5449.1,2.7,43440.4,443.1,14.3,125.4,16.7
Japan,2001,440.2,4303.5,0.4,33846.5,403.5,17.5,127.1,19.8
Japan,2007,789.9,4515.3,1.7,35275.2,714.3,29.6,128.0,33.1
Japan,2012,902.2,6203.2,1.5,48603.5,798.6,27.2,127.6,30.6
Japan,2017,864.0,4866.9,2.2,38386.5,698.3,28.2,126.8,34.6
"Korea, Rep.",1976,7.6,29.9,13.2,834.1,7.7,55.1,35.8,53.9
"Korea, Rep.",1979,15.8,66.9,8.7,1783.6,15.1,52.9,37.5,54.5
"Korea, Rep.",1986,37.4,116.8,11.3,2834.9,34.7,56.7,41.2,60.1
"Korea, Rep.",1990,70.8,283.4,9.9,6610.0,65.0,47.6,42.9,50.8
"Korea, Rep.",1995,145.7,566.6,9.6,12564.8,125.1,45.9,45.1,52.5
"Korea, Rep.",2001,174.1,547.7,4.9,11561.2,150.4,53.2,47.4,62.2
"Korea, Rep.",2007,438.5,1172.6,5.8,24086.4,371.5,62.1,48.7,73.9
"Korea, Rep.",2012,691.6,1278.4,2.4,25466.8,547.9,83.5,50.2,105.5
"Korea, Rep.",2017,664.7,1623.9,3.2,31616.8,573.7,64.8,51.4,77.1
Mexico,1976,7.6,89.0,4.4,1453.7,3.4,10.6,61.2,18.4
Mexico,1979,15.1,134.6,9.7,2035.0,9.0,15.7,66.1,23.6
Mexico,1986,22.4,134.6,-3.1,1733.9,21.8,29.3,77.6,29.6
Mexico,1990,48.9,261.3,5.2,3112.3,40.7,32.3,83.9,38.5
Mexico,1995,87.0,360.1,-6.3,3928.2,79.5,42.8,91.7,46.3
Mexico,2001,171.5,756.7,-0.4,7544.6,158.5,43.8,100.3,47.2
Mexico,2007,289.8,1052.7,2.3,9642.7,271.8,53.4,109.2,56.8
Mexico,2012,387.5,1201.1,3.6,10241.7,370.8,62.5,117.3,65.8
Mexico,2017,436.3,1157.7,2.1,9278.4,409.4,72.7,124.8,77.2
Spain,1976,14.9,118.5,3.3,3279.3,8.7,22.1,36.1,30.1
Spain,1979,29.4,214.6,0.0,5770.2,18.2,20.3,37.2,27.8
Spain,1986,45.7,251.3,3.3,6513.5,27.2,24.8,38.6,35.3
Spain,1990,84.4,536.6,3.8,13804.9,55.6,26.7,38.9,35.6
Spain,1995,134.2,614.6,2.8,15472.0,97.8,34.4,39.7,44.8
Spain,2001,174.8,627.3,3.9,15355.7,116.7,43.3,40.9,58.0
Spain,2007,382.5,1472.1,3.6,32550.0,253.3,43.7,45.2,57.7
Spain,2012,416.7,1324.8,-3.0,28324.4,295.3,47.7,46.8,60.8
Spain,2017,461.7,1312.6,2.9,28170.4,319.5,51.2,46.6,66.8
Turkey,1976,2.5,51.3,10.5,1276.0,2.0,13.8,40.2,15.5
Turkey,1979,2.9,89.4,-0.6,2079.2,2.3,8.2,43.0,9.1
Turkey,1986,10.1,75.7,7.0,1510.7,7.5,24.5,50.1,29.4
Turkey,1990,20.1,150.7,9.3,2794.4,13.0,23.4,53.9,30.9
Turkey,1995,33.7,169.5,7.9,2897.9,21.6,33.8,58.5,44.2
Turkey,2001,53.2,200.3,-6.0,3119.6,31.3,36.3,64.2,49.4
Turkey,2007,143.4,675.8,5.0,9711.9,107.3,41.0,69.6,47.3
Turkey,2012,206.8,874.0,4.8,11707.3,152.5,44.5,74.7,52.2
Turkey,2017,211.2,852.7,7.5,10513.6,164.5,47.3,81.1,54.1
United Kingdom,1976,65.1,232.6,2.9,4138.2,45.4,43.5,56.2,57.1
United Kingdom,1979,120.1,439.0,3.7,7804.8,86.4,42.4,56.2,54.4
United Kingdom,1986,149.3,601.5,3.2,10611.1,107.1,38.8,56.7,50.3
United Kingdom,1990,252.2,1093.2,0.7,19095.5,185.2,37.3,57.2,48.0
United Kingdom,1995,342.8,1341.6,2.5,23123.2,238.0,37.7,58.0,50.8
United Kingdom,2001,410.7,1640.2,3.0,27744.5,274.7,37.5,59.1,52.3
United Kingdom,2007,782.7,3100.9,2.4,50566.8,446.8,35.2,61.3,52.5
United Kingdom,2012,810.8,2704.9,1.5,42462.8,478.8,43.7,63.7,61.1
United Kingdom,2017,809.6,2666.2,1.9,40361.4,441.0,40.6,66.1,61.9
United States,1976,149.5,1873.4,5.4,8592.3,116.8,13.3,218.0,16.0
United States,1979,230.1,2627.3,3.2,11674.2,186.4,15.6,225.1,18.4
United States,1986,321.0,4579.6,3.5,19071.2,227.2,13.3,240.1,16.9
United States,1990,551.9,5963.1,1.9,23888.6,393.6,15.3,249.6,19.8
United States,1995,812.8,7639.7,2.7,28690.9,584.7,17.7,266.3,22.5
United States,2001,1024.6,10581.8,1.0,37133.2,729.1,18.0,285.0,22.8
United States,2007,1660.9,14451.9,1.9,47976.0,1148.2,21.9,301.2,28.0
United States,2012,2191.3,16197.0,2.2,51610.6,1545.7,24.0,313.8,30.6
United States,2017,2356.7,19485.4,2.2,59957.7,1546.3,20.3,325.0,27.1
